company,text,createdAt,clean_text,sentiment
apple,"Personally, Apple offers stability but growth can be slow for most employees.",2024-05-30,"Personally, Apple offers stability but growth can be slow for most employees.",Positive
apple,"Personally, My experience working at Apple has been average so far overall.",2024-06-06,"Personally, My experience working at Apple has been average so far overall.",Neutral
apple,"As an employee, Work pressure at Apple has increased recently based on my experience.",2024-04-19,"As an employee, Work pressure at Apple has increased recently based on my experience.",Neutral
apple,"In my experience, Poor communication from management at Apple overall.",2024-02-05,"In my experience, Poor communication from management at Apple overall.",Negative
apple,"Personally, I enjoy collaborating with talented colleagues at Apple based on my experience.",2024-04-06,"Personally, I enjoy collaborating with talented colleagues at Apple based on my experience.",Positive
apple,"Personally, Working at Apple has been a great learning experience for most employees.",2024-04-23,"Personally, Working at Apple has been a great learning experience for most employees.",Positive
apple,"Personally, Overall experience at Apple is acceptable in recent months.",2024-03-22,"Personally, Overall experience at Apple is acceptable in recent months.",Positive
apple,"In my experience, Employee experience at Apple depends on management for most employees.",2024-04-16,"In my experience, Employee experience at Apple depends on management for most employees.",Neutral
apple,"In my experience, Overall experience at Apple is acceptable based on my experience.",2024-03-25,"In my experience, Overall experience at Apple is acceptable based on my experience.",Positive
apple,"Currently, Great benefits and compensation at Apple overall.",2024-06-19,"Currently, Great benefits and compensation at Apple overall.",Positive
apple,"Honestly, Work life balance at Apple could be better based on my experience.",2024-06-04,"Honestly, Work life balance at Apple could be better based on my experience.",Positive
apple,"As an employee, Poor communication from management at Apple based on my experience.",2024-04-23,"As an employee, Poor communication from management at Apple based on my experience.",Negative
apple,"From what I see, My experience working at Apple has been average so far overall.",2024-02-19,"From what I see, My experience working at Apple has been average so far overall.",Neutral
apple,"Personally, The team culture at Apple is supportive and innovative based on my experience.",2024-01-24,"Personally, The team culture at Apple is supportive and innovative based on my experience.",Positive
apple,"Personally, Great benefits and compensation at Apple for most employees.",2024-01-21,"Personally, Great benefits and compensation at Apple for most employees.",Positive
apple,"As an employee, Leadership encourages innovation and ownership at Apple based on my experience.",2024-02-20,"As an employee, Leadership encourages innovation and ownership at Apple based on my experience.",Positive
apple,"Currently, The team culture at Apple is supportive and innovative based on my experience.",2024-03-18,"Currently, The team culture at Apple is supportive and innovative based on my experience.",Positive
apple,"Honestly, Leadership encourages innovation and ownership at Apple based on my experience.",2024-03-10,"Honestly, Leadership encourages innovation and ownership at Apple based on my experience.",Positive
apple,"In my experience, Burnout is becoming common among Apple employees in recent months.",2024-04-11,"In my experience, Burnout is becoming common among Apple employees in recent months.",Neutral
apple,"From what I see, Leadership encourages innovation and ownership at Apple these days.",2024-05-09,"From what I see, Leadership encourages innovation and ownership at Apple these days.",Positive
apple,"Personally, Some teams at Apple are better than others these days.",2024-01-06,"Personally, Some teams at Apple are better than others these days.",Positive
apple,"In my experience, Burnout is becoming common among Apple employees in recent months.",2024-06-01,"In my experience, Burnout is becoming common among Apple employees in recent months.",Neutral
apple,"Honestly, Workload at Apple varies by role based on my experience.",2024-03-06,"Honestly, Workload at Apple varies by role based on my experience.",Positive
apple,"From what I see, I enjoy collaborating with talented colleagues at Apple in recent months.",2024-04-06,"From what I see, I enjoy collaborating with talented colleagues at Apple in recent months.",Positive
apple,"In my experience, Some teams at Apple are better than others in recent months.",2024-02-04,"In my experience, Some teams at Apple are better than others in recent months.",Positive
apple,"Personally, Apple work culture depends a lot on the team based on my experience.",2024-01-02,"Personally, Apple work culture depends a lot on the team based on my experience.",Neutral
apple,"From what I see, Apple provides strong engineering standards these days.",2024-04-16,"From what I see, Apple provides strong engineering standards these days.",Positive
apple,"As an employee, Job stress at Apple has risen after restructuring these days.",2024-05-05,"As an employee, Job stress at Apple has risen after restructuring these days.",Negative
apple,"From what I see, Apple offers good work life balance and flexibility overall.",2024-02-01,"From what I see, Apple offers good work life balance and flexibility overall.",Positive
apple,"Personally, The team culture at Apple is supportive and innovative these days.",2024-03-06,"Personally, The team culture at Apple is supportive and innovative these days.",Positive
apple,"Honestly, Work life balance at Apple could be better in recent months.",2024-05-10,"Honestly, Work life balance at Apple could be better in recent months.",Positive
apple,"Honestly, Apple offers stability but growth can be slow in recent months.",2024-06-27,"Honestly, Apple offers stability but growth can be slow in recent months.",Positive
apple,"From what I see, Career growth opportunities at Apple are solid based on my experience.",2024-03-03,"From what I see, Career growth opportunities at Apple are solid based on my experience.",Positive
apple,"As an employee, Employee experience at Apple depends on management overall.",2024-06-27,"As an employee, Employee experience at Apple depends on management overall.",Neutral
apple,"As an employee, Apple work culture depends a lot on the team for most employees.",2024-04-26,"As an employee, Apple work culture depends a lot on the team for most employees.",Neutral
apple,"As an employee, Apple layoffs have affected employee morale based on my experience.",2024-06-03,"As an employee, Apple layoffs have affected employee morale based on my experience.",Neutral
apple,"Personally, Apple offers stability but growth can be slow overall.",2024-01-30,"Personally, Apple offers stability but growth can be slow overall.",Positive
apple,"Honestly, Job stress at Apple has risen after restructuring these days.",2024-04-11,"Honestly, Job stress at Apple has risen after restructuring these days.",Neutral
apple,"Currently, My experience working at Apple has been average so far based on my experience.",2024-04-18,"Currently, My experience working at Apple has been average so far based on my experience.",Neutral
apple,"As an employee, Career growth opportunities at Apple are solid in recent months.",2024-05-08,"As an employee, Career growth opportunities at Apple are solid in recent months.",Positive
apple,"From what I see, Job stress at Apple has risen after restructuring for most employees.",2024-03-19,"From what I see, Job stress at Apple has risen after restructuring for most employees.",Negative
apple,"Honestly, Employee experience at Apple depends on management overall.",2024-01-28,"Honestly, Employee experience at Apple depends on management overall.",Positive
apple,"As an employee, Employee experience at Apple depends on management based on my experience.",2024-03-09,"As an employee, Employee experience at Apple depends on management based on my experience.",Neutral
apple,"From what I see, Apple offers stability but growth can be slow in recent months.",2024-01-02,"From what I see, Apple offers stability but growth can be slow in recent months.",Positive
apple,"From what I see, Work life balance at Apple could be better overall.",2024-01-25,"From what I see, Work life balance at Apple could be better overall.",Positive
apple,"Currently, Career growth opportunities at Apple are solid these days.",2024-06-16,"Currently, Career growth opportunities at Apple are solid these days.",Positive
apple,"Personally, Career growth opportunities at Apple are solid based on my experience.",2024-04-05,"Personally, Career growth opportunities at Apple are solid based on my experience.",Positive
apple,"Personally, The team culture at Apple is supportive and innovative these days.",2024-02-16,"Personally, The team culture at Apple is supportive and innovative these days.",Positive
apple,"From what I see, My experience working at Apple has been average so far for most employees.",2024-02-24,"From what I see, My experience working at Apple has been average so far for most employees.",Neutral
apple,"Honestly, Working at Apple has been a great learning experience based on my experience.",2024-02-19,"Honestly, Working at Apple has been a great learning experience based on my experience.",Positive
apple,"From what I see, Career growth opportunities at Apple are solid for most employees.",2024-01-28,"From what I see, Career growth opportunities at Apple are solid for most employees.",Positive
apple,"In my experience, Apple layoffs have affected employee morale in recent months.",2024-01-22,"In my experience, Apple layoffs have affected employee morale in recent months.",Neutral
apple,"In my experience, I enjoy collaborating with talented colleagues at Apple in recent months.",2024-01-08,"In my experience, I enjoy collaborating with talented colleagues at Apple in recent months.",Positive
apple,"From what I see, Some teams at Apple are better than others overall.",2024-01-03,"From what I see, Some teams at Apple are better than others overall.",Positive
apple,"Honestly, Working at Apple has been a great learning experience for most employees.",2024-01-11,"Honestly, Working at Apple has been a great learning experience for most employees.",Positive
apple,"From what I see, Working at Apple has been a great learning experience for most employees.",2024-05-13,"From what I see, Working at Apple has been a great learning experience for most employees.",Positive
apple,"As an employee, Work life balance at Apple could be better these days.",2024-05-01,"As an employee, Work life balance at Apple could be better these days.",Positive
apple,"From what I see, Poor communication from management at Apple in recent months.",2024-04-04,"From what I see, Poor communication from management at Apple in recent months.",Negative
apple,"As an employee, Overall experience at Apple is acceptable based on my experience.",2024-04-02,"As an employee, Overall experience at Apple is acceptable based on my experience.",Positive
apple,"Currently, Some teams at Apple are better than others overall.",2024-04-01,"Currently, Some teams at Apple are better than others overall.",Positive
apple,"In my experience, Work life balance at Apple could be better overall.",2024-04-26,"In my experience, Work life balance at Apple could be better overall.",Positive
apple,"Honestly, Burnout is becoming common among Apple employees based on my experience.",2024-01-07,"Honestly, Burnout is becoming common among Apple employees based on my experience.",Positive
apple,"Currently, Employee experience at Apple depends on management in recent months.",2024-06-28,"Currently, Employee experience at Apple depends on management in recent months.",Neutral
apple,"As an employee, Apple layoffs have affected employee morale these days.",2024-06-07,"As an employee, Apple layoffs have affected employee morale these days.",Neutral
apple,"From what I see, Employee experience at Apple depends on management for most employees.",2024-04-15,"From what I see, Employee experience at Apple depends on management for most employees.",Neutral
apple,"Honestly, My experience working at Apple has been average so far in recent months.",2024-01-05,"Honestly, My experience working at Apple has been average so far in recent months.",Positive
apple,"In my experience, Employee experience at Apple depends on management in recent months.",2024-06-22,"In my experience, Employee experience at Apple depends on management in recent months.",Neutral
apple,"From what I see, Leadership encourages innovation and ownership at Apple for most employees.",2024-01-21,"From what I see, Leadership encourages innovation and ownership at Apple for most employees.",Positive
apple,"Honestly, Leadership encourages innovation and ownership at Apple overall.",2024-04-08,"Honestly, Leadership encourages innovation and ownership at Apple overall.",Positive
apple,"Honestly, Great benefits and compensation at Apple based on my experience.",2024-05-13,"Honestly, Great benefits and compensation at Apple based on my experience.",Positive
apple,"Honestly, Work life balance at Apple could be better for most employees.",2024-01-09,"Honestly, Work life balance at Apple could be better for most employees.",Positive
apple,"As an employee, Apple offers good work life balance and flexibility for most employees.",2024-04-29,"As an employee, Apple offers good work life balance and flexibility for most employees.",Positive
apple,"In my experience, Leadership encourages innovation and ownership at Apple these days.",2024-06-18,"In my experience, Leadership encourages innovation and ownership at Apple these days.",Positive
apple,"Personally, Apple work culture depends a lot on the team based on my experience.",2024-06-17,"Personally, Apple work culture depends a lot on the team based on my experience.",Neutral
apple,"From what I see, My experience working at Apple has been average so far overall.",2024-02-11,"From what I see, My experience working at Apple has been average so far overall.",Neutral
apple,"From what I see, Management decisions at Apple are frustrating in recent months.",2024-02-26,"From what I see, Management decisions at Apple are frustrating in recent months.",Negative
apple,"From what I see, Apple offers stability but growth can be slow overall.",2024-06-19,"From what I see, Apple offers stability but growth can be slow overall.",Positive
apple,"In my experience, Leadership encourages innovation and ownership at Apple in recent months.",2024-02-27,"In my experience, Leadership encourages innovation and ownership at Apple in recent months.",Positive
apple,"Currently, Work life balance at Apple could be better overall.",2024-06-13,"Currently, Work life balance at Apple could be better overall.",Positive
apple,"Honestly, Career growth opportunities at Apple are solid for most employees.",2024-04-21,"Honestly, Career growth opportunities at Apple are solid for most employees.",Positive
apple,"As an employee, Apple layoffs have affected employee morale overall.",2024-03-15,"As an employee, Apple layoffs have affected employee morale overall.",Neutral
apple,"As an employee, Apple offers good work life balance and flexibility for most employees.",2024-02-18,"As an employee, Apple offers good work life balance and flexibility for most employees.",Positive
apple,"Currently, My experience working at Apple has been average so far in recent months.",2024-02-02,"Currently, My experience working at Apple has been average so far in recent months.",Neutral
