text,createdAt,clean_text
"Honestly, My experience working at Microsoft has been average so far in recent months.",2024-03-03,honestly experience working microsoft average far recent month
"Honestly, Microsoft offers good work life balance and flexibility for most employees.",2024-01-23,honestly microsoft offer good work life balance flexibility employee
"In my experience, My experience working at Microsoft has been average so far overall.",2024-02-25,experience experience working microsoft average far overall
"Currently, Working at Microsoft has been a great learning experience based on my experience.",2024-06-15,currently working microsoft great learning experience based experience
"Personally, Working at Microsoft has been a great learning experience these days.",2024-03-28,personally working microsoft great learning experience day
"As an employee, Great benefits and compensation at Microsoft overall.",2024-01-24,employee great benefit compensation microsoft overall
"As an employee, Microsoft provides strong engineering standards for most employees.",2024-03-08,employee microsoft provides strong engineering standard employee
"From what I see, Job stress at Microsoft has risen after restructuring for most employees.",2024-02-01,see job stress microsoft risen restructuring employee
"In my experience, Burnout is becoming common among Microsoft employees for most employees.",2024-03-16,experience burnout becoming common among microsoft employee employee
"As an employee, Poor communication from management at Microsoft for most employees.",2024-02-19,employee poor communication management microsoft employee
"Honestly, My experience working at Microsoft has been average so far based on my experience.",2024-03-15,honestly experience working microsoft average far based experience
"Personally, Work life balance at Microsoft could be better overall.",2024-04-07,personally work life balance microsoft could better overall
"In my experience, Employee experience at Microsoft depends on management based on my experience.",2024-01-09,experience employee experience microsoft depends management based experience
"As an employee, Burnout is becoming common among Microsoft employees overall.",2024-02-24,employee burnout becoming common among microsoft employee overall
"Honestly, Poor communication from management at Microsoft in recent months.",2024-02-24,honestly poor communication management microsoft recent month
"Honestly, Great benefits and compensation at Microsoft for most employees.",2024-05-17,honestly great benefit compensation microsoft employee
"Currently, Career growth opportunities at Microsoft are solid these days.",2024-04-02,currently career growth opportunity microsoft solid day
"In my experience, Work life balance at Microsoft could be better based on my experience.",2024-06-09,experience work life balance microsoft could better based experience
"Currently, Career growth opportunities at Microsoft are solid overall.",2024-04-08,currently career growth opportunity microsoft solid overall
"As an employee, Work life balance at Microsoft could be better in recent months.",2024-01-29,employee work life balance microsoft could better recent month
"Personally, Work life balance at Microsoft could be better for most employees.",2024-01-28,personally work life balance microsoft could better employee
"Honestly, Management decisions at Microsoft are frustrating for most employees.",2024-06-04,honestly management decision microsoft frustrating employee
"As an employee, Poor communication from management at Microsoft these days.",2024-01-05,employee poor communication management microsoft day
"As an employee, Microsoft provides strong engineering standards based on my experience.",2024-01-15,employee microsoft provides strong engineering standard based experience
"In my experience, Microsoft offers good work life balance and flexibility these days.",2024-01-18,experience microsoft offer good work life balance flexibility day
"Personally, Poor communication from management at Microsoft based on my experience.",2024-06-17,personally poor communication management microsoft based experience
"Personally, Burnout is becoming common among Microsoft employees for most employees.",2024-06-25,personally burnout becoming common among microsoft employee employee
"In my experience, Burnout is becoming common among Microsoft employees based on my experience.",2024-02-27,experience burnout becoming common among microsoft employee based experience
"Currently, Working at Microsoft has been a great learning experience for most employees.",2024-02-28,currently working microsoft great learning experience employee
"In my experience, My experience working at Microsoft has been average so far overall.",2024-02-28,experience experience working microsoft average far overall
"As an employee, Working at Microsoft has been a great learning experience overall.",2024-05-11,employee working microsoft great learning experience overall
"Personally, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-02-03,personally leadership encourages innovation ownership microsoft employee
"From what I see, Work life balance at Microsoft could be better based on my experience.",2024-01-25,see work life balance microsoft could better based experience
"As an employee, Career growth opportunities at Microsoft are solid these days.",2024-04-15,employee career growth opportunity microsoft solid day
"In my experience, Great benefits and compensation at Microsoft these days.",2024-05-20,experience great benefit compensation microsoft day
"In my experience, Working at Microsoft has been a great learning experience based on my experience.",2024-02-12,experience working microsoft great learning experience based experience
"From what I see, Working at Microsoft has been a great learning experience in recent months.",2024-04-26,see working microsoft great learning experience recent month
"Currently, Working at Microsoft has been a great learning experience for most employees.",2024-01-16,currently working microsoft great learning experience employee
"In my experience, My experience working at Microsoft has been average so far for most employees.",2024-05-02,experience experience working microsoft average far employee
"Currently, Employee experience at Microsoft depends on management based on my experience.",2024-01-15,currently employee experience microsoft depends management based experience
"From what I see, Great benefits and compensation at Microsoft overall.",2024-05-25,see great benefit compensation microsoft overall
"Currently, Working at Microsoft has been a great learning experience overall.",2024-04-17,currently working microsoft great learning experience overall
"In my experience, Microsoft offers good work life balance and flexibility for most employees.",2024-02-24,experience microsoft offer good work life balance flexibility employee
"As an employee, Microsoft work culture depends a lot on the team overall.",2024-03-03,employee microsoft work culture depends lot team overall
"Honestly, Working at Microsoft has been a great learning experience for most employees.",2024-03-17,honestly working microsoft great learning experience employee
"Currently, Job stress at Microsoft has risen after restructuring based on my experience.",2024-03-10,currently job stress microsoft risen restructuring based experience
"Honestly, Great benefits and compensation at Microsoft in recent months.",2024-02-22,honestly great benefit compensation microsoft recent month
"As an employee, Employee experience at Microsoft depends on management for most employees.",2024-05-05,employee employee experience microsoft depends management employee
"In my experience, Working at Microsoft has been a great learning experience these days.",2024-03-11,experience working microsoft great learning experience day
"Honestly, Microsoft offers good work life balance and flexibility based on my experience.",2024-05-19,honestly microsoft offer good work life balance flexibility based experience
"As an employee, My experience working at Microsoft has been average so far in recent months.",2024-01-11,employee experience working microsoft average far recent month
"Honestly, Microsoft layoffs have affected employee morale based on my experience.",2024-06-19,honestly microsoft layoff affected employee morale based experience
"Currently, Career growth opportunities at Microsoft are solid based on my experience.",2024-03-01,currently career growth opportunity microsoft solid based experience
"Personally, Work life balance at Microsoft could be better these days.",2024-01-07,personally work life balance microsoft could better day
"From what I see, Microsoft offers good work life balance and flexibility overall.",2024-04-30,see microsoft offer good work life balance flexibility overall
"As an employee, Leadership encourages innovation and ownership at Microsoft in recent months.",2024-02-28,employee leadership encourages innovation ownership microsoft recent month
"From what I see, Great benefits and compensation at Microsoft in recent months.",2024-03-12,see great benefit compensation microsoft recent month
"As an employee, Work life balance at Microsoft could be better in recent months.",2024-06-13,employee work life balance microsoft could better recent month
"Personally, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-03-08,personally enjoy collaborating talented colleague microsoft employee
"As an employee, Career growth opportunities at Microsoft are solid in recent months.",2024-04-21,employee career growth opportunity microsoft solid recent month
"Honestly, Working at Microsoft has been a great learning experience these days.",2024-01-01,honestly working microsoft great learning experience day
"Currently, Employee experience at Microsoft depends on management based on my experience.",2024-04-03,currently employee experience microsoft depends management based experience
"As an employee, Microsoft offers stability but growth can be slow for most employees.",2024-03-21,employee microsoft offer stability growth slow employee
"Honestly, My experience working at Microsoft has been average so far in recent months.",2024-05-09,honestly experience working microsoft average far recent month
"As an employee, Career growth opportunities at Microsoft are solid these days.",2024-06-27,employee career growth opportunity microsoft solid day
"Honestly, Job stress at Microsoft has risen after restructuring based on my experience.",2024-06-06,honestly job stress microsoft risen restructuring based experience
"Currently, Career growth opportunities at Microsoft are solid for most employees.",2024-06-16,currently career growth opportunity microsoft solid employee
"Honestly, Employee experience at Microsoft depends on management based on my experience.",2024-06-17,honestly employee experience microsoft depends management based experience
"Personally, Great benefits and compensation at Microsoft overall.",2024-01-12,personally great benefit compensation microsoft overall
"Personally, Career growth opportunities at Microsoft are solid based on my experience.",2024-06-16,personally career growth opportunity microsoft solid based experience
"In my experience, Employee experience at Microsoft depends on management these days.",2024-02-26,experience employee experience microsoft depends management day
"In my experience, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-03-04,experience leadership encourages innovation ownership microsoft employee
"Honestly, Microsoft work culture depends a lot on the team these days.",2024-04-25,honestly microsoft work culture depends lot team day
"Honestly, Great benefits and compensation at Microsoft in recent months.",2024-05-13,honestly great benefit compensation microsoft recent month
"As an employee, Microsoft work culture depends a lot on the team these days.",2024-01-20,employee microsoft work culture depends lot team day
"As an employee, Microsoft work culture depends a lot on the team in recent months.",2024-03-22,employee microsoft work culture depends lot team recent month
"From what I see, Career growth opportunities at Microsoft are solid for most employees.",2024-06-27,see career growth opportunity microsoft solid employee
"From what I see, Career growth opportunities at Microsoft are solid overall.",2024-03-31,see career growth opportunity microsoft solid overall
"From what I see, Career growth opportunities at Microsoft are solid for most employees.",2024-05-19,see career growth opportunity microsoft solid employee
"From what I see, Microsoft layoffs have affected employee morale based on my experience.",2024-03-10,see microsoft layoff affected employee morale based experience
"From what I see, My experience working at Microsoft has been average so far in recent months.",2024-06-20,see experience working microsoft average far recent month
"Currently, Poor communication from management at Microsoft overall.",2024-04-10,currently poor communication management microsoft overall
"From what I see, Employee experience at Microsoft depends on management based on my experience.",2024-01-13,see employee experience microsoft depends management based experience
"As an employee, Career growth opportunities at Microsoft are solid these days.",2024-03-05,employee career growth opportunity microsoft solid day
"In my experience, Burnout is becoming common among Microsoft employees for most employees.",2024-01-14,experience burnout becoming common among microsoft employee employee
"Personally, Management decisions at Microsoft are frustrating overall.",2024-06-15,personally management decision microsoft frustrating overall
"Personally, Working at Microsoft has been a great learning experience based on my experience.",2024-01-06,personally working microsoft great learning experience based experience
"Personally, Microsoft work culture depends a lot on the team these days.",2024-06-20,personally microsoft work culture depends lot team day
"From what I see, Great benefits and compensation at Microsoft in recent months.",2024-04-04,see great benefit compensation microsoft recent month
"Personally, Microsoft offers good work life balance and flexibility in recent months.",2024-01-28,personally microsoft offer good work life balance flexibility recent month
"In my experience, Microsoft layoffs have affected employee morale for most employees.",2024-06-25,experience microsoft layoff affected employee morale employee
"In my experience, Microsoft layoffs have affected employee morale in recent months.",2024-06-24,experience microsoft layoff affected employee morale recent month
"Currently, My experience working at Microsoft has been average so far overall.",2024-03-29,currently experience working microsoft average far overall
"As an employee, Microsoft offers stability but growth can be slow overall.",2024-05-09,employee microsoft offer stability growth slow overall
"From what I see, My experience working at Microsoft has been average so far these days.",2024-01-28,see experience working microsoft average far day
"From what I see, Poor communication from management at Microsoft these days.",2024-04-21,see poor communication management microsoft day
"As an employee, Poor communication from management at Microsoft in recent months.",2024-03-03,employee poor communication management microsoft recent month
"As an employee, Work pressure at Microsoft has increased recently these days.",2024-03-03,employee work pressure microsoft increased recently day
"Currently, Poor communication from management at Microsoft these days.",2024-03-27,currently poor communication management microsoft day
"As an employee, I enjoy collaborating with talented colleagues at Microsoft in recent months.",2024-06-01,employee enjoy collaborating talented colleague microsoft recent month
"Honestly, Microsoft work culture depends a lot on the team these days.",2024-06-14,honestly microsoft work culture depends lot team day
"As an employee, Great benefits and compensation at Microsoft for most employees.",2024-04-04,employee great benefit compensation microsoft employee
"As an employee, Workload at Microsoft varies by role these days.",2024-05-20,employee workload microsoft varies role day
"As an employee, Leadership encourages innovation and ownership at Microsoft in recent months.",2024-03-05,employee leadership encourages innovation ownership microsoft recent month
"As an employee, Great benefits and compensation at Microsoft overall.",2024-05-17,employee great benefit compensation microsoft overall
"Personally, Job stress at Microsoft has risen after restructuring based on my experience.",2024-02-25,personally job stress microsoft risen restructuring based experience
"Personally, My experience working at Microsoft has been average so far in recent months.",2024-02-28,personally experience working microsoft average far recent month
"In my experience, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-02-02,experience enjoy collaborating talented colleague microsoft employee
"Currently, Working at Microsoft has been a great learning experience in recent months.",2024-06-27,currently working microsoft great learning experience recent month
"From what I see, Job stress at Microsoft has risen after restructuring overall.",2024-01-04,see job stress microsoft risen restructuring overall
"As an employee, Working at Microsoft has been a great learning experience these days.",2024-01-30,employee working microsoft great learning experience day
"From what I see, Burnout is becoming common among Microsoft employees overall.",2024-05-27,see burnout becoming common among microsoft employee overall
"Personally, My experience working at Microsoft has been average so far based on my experience.",2024-05-24,personally experience working microsoft average far based experience
"Currently, Poor communication from management at Microsoft for most employees.",2024-02-27,currently poor communication management microsoft employee
"From what I see, Burnout is becoming common among Microsoft employees these days.",2024-03-17,see burnout becoming common among microsoft employee day
"As an employee, Burnout is becoming common among Microsoft employees for most employees.",2024-06-07,employee burnout becoming common among microsoft employee employee
"Personally, Microsoft offers good work life balance and flexibility based on my experience.",2024-03-08,personally microsoft offer good work life balance flexibility based experience
"Personally, Microsoft work culture depends a lot on the team based on my experience.",2024-05-21,personally microsoft work culture depends lot team based experience
"From what I see, Working at Microsoft has been a great learning experience these days.",2024-06-25,see working microsoft great learning experience day
"Honestly, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-06-18,honestly enjoy collaborating talented colleague microsoft employee
"From what I see, Microsoft layoffs have affected employee morale overall.",2024-05-19,see microsoft layoff affected employee morale overall
"As an employee, The team culture at Microsoft is supportive and inclusive based on my experience.",2024-01-19,employee team culture microsoft supportive inclusive based experience
"Currently, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-03-14,currently enjoy collaborating talented colleague microsoft employee
"In my experience, My experience working at Microsoft has been average so far based on my experience.",2024-06-21,experience experience working microsoft average far based experience
"Currently, Poor communication from management at Microsoft overall.",2024-06-21,currently poor communication management microsoft overall
"In my experience, Poor communication from management at Microsoft based on my experience.",2024-04-30,experience poor communication management microsoft based experience
"As an employee, Some teams at Microsoft are better than others based on my experience.",2024-05-29,employee team microsoft better others based experience
"From what I see, Employee experience at Microsoft depends on management overall.",2024-04-30,see employee experience microsoft depends management overall
"As an employee, Microsoft provides strong engineering standards overall.",2024-02-11,employee microsoft provides strong engineering standard overall
"As an employee, Leadership encourages innovation and ownership at Microsoft these days.",2024-05-20,employee leadership encourages innovation ownership microsoft day
"As an employee, Microsoft offers good work life balance and flexibility in recent months.",2024-03-23,employee microsoft offer good work life balance flexibility recent month
"Currently, Career growth opportunities at Microsoft are solid overall.",2024-06-17,currently career growth opportunity microsoft solid overall
"From what I see, Burnout is becoming common among Microsoft employees overall.",2024-02-18,see burnout becoming common among microsoft employee overall
"As an employee, The team culture at Microsoft is supportive and inclusive these days.",2024-06-27,employee team culture microsoft supportive inclusive day
"Honestly, My experience working at Microsoft has been average so far for most employees.",2024-03-02,honestly experience working microsoft average far employee
"In my experience, Microsoft work culture depends a lot on the team these days.",2024-01-31,experience microsoft work culture depends lot team day
"From what I see, Microsoft work culture depends a lot on the team in recent months.",2024-05-10,see microsoft work culture depends lot team recent month
"From what I see, Microsoft work culture depends a lot on the team based on my experience.",2024-06-02,see microsoft work culture depends lot team based experience
"In my experience, Microsoft work culture depends a lot on the team in recent months.",2024-04-16,experience microsoft work culture depends lot team recent month
"Honestly, Poor communication from management at Microsoft these days.",2024-02-08,honestly poor communication management microsoft day
"As an employee, Some teams at Microsoft are better than others in recent months.",2024-05-21,employee team microsoft better others recent month
"From what I see, Burnout is becoming common among Microsoft employees in recent months.",2024-02-18,see burnout becoming common among microsoft employee recent month
"Currently, Microsoft layoffs have affected employee morale these days.",2024-02-29,currently microsoft layoff affected employee morale day
"In my experience, Burnout is becoming common among Microsoft employees in recent months.",2024-05-01,experience burnout becoming common among microsoft employee recent month
"From what I see, Employee experience at Microsoft depends on management these days.",2024-06-18,see employee experience microsoft depends management day
"Personally, Job stress at Microsoft has risen after restructuring these days.",2024-01-10,personally job stress microsoft risen restructuring day
"In my experience, Microsoft layoffs have affected employee morale these days.",2024-03-08,experience microsoft layoff affected employee morale day
"Honestly, Career growth opportunities at Microsoft are solid overall.",2024-03-25,honestly career growth opportunity microsoft solid overall
"Currently, Work life balance at Microsoft could be better these days.",2024-03-22,currently work life balance microsoft could better day
"From what I see, Employee experience at Microsoft depends on management for most employees.",2024-01-10,see employee experience microsoft depends management employee
"Honestly, Microsoft work culture depends a lot on the team in recent months.",2024-02-28,honestly microsoft work culture depends lot team recent month
"As an employee, Management decisions at Microsoft are frustrating in recent months.",2024-04-20,employee management decision microsoft frustrating recent month
"Currently, Career growth opportunities at Microsoft are solid based on my experience.",2024-02-13,currently career growth opportunity microsoft solid based experience
"Currently, Career growth opportunities at Microsoft are solid based on my experience.",2024-05-07,currently career growth opportunity microsoft solid based experience
"Personally, Microsoft layoffs have affected employee morale these days.",2024-06-12,personally microsoft layoff affected employee morale day
"Currently, Job stress at Microsoft has risen after restructuring based on my experience.",2024-01-19,currently job stress microsoft risen restructuring based experience
"As an employee, Job stress at Microsoft has risen after restructuring these days.",2024-03-18,employee job stress microsoft risen restructuring day
"From what I see, Career growth opportunities at Microsoft are solid overall.",2024-03-01,see career growth opportunity microsoft solid overall
"As an employee, Career growth opportunities at Microsoft are solid overall.",2024-05-24,employee career growth opportunity microsoft solid overall
"Honestly, Work life balance at Microsoft could be better overall.",2024-06-04,honestly work life balance microsoft could better overall
"As an employee, Employee experience at Microsoft depends on management based on my experience.",2024-06-04,employee employee experience microsoft depends management based experience
"Honestly, Microsoft layoffs have affected employee morale based on my experience.",2024-06-07,honestly microsoft layoff affected employee morale based experience
"Personally, Microsoft work culture depends a lot on the team based on my experience.",2024-05-18,personally microsoft work culture depends lot team based experience
"Currently, Management decisions at Microsoft are frustrating for most employees.",2024-03-10,currently management decision microsoft frustrating employee
"From what I see, Management decisions at Microsoft are frustrating in recent months.",2024-03-27,see management decision microsoft frustrating recent month
"In my experience, Burnout is becoming common among Microsoft employees based on my experience.",2024-02-27,experience burnout becoming common among microsoft employee based experience
"Honestly, Job stress at Microsoft has risen after restructuring these days.",2024-05-22,honestly job stress microsoft risen restructuring day
"In my experience, Career growth opportunities at Microsoft are solid in recent months.",2024-05-17,experience career growth opportunity microsoft solid recent month
"In my experience, Microsoft work culture depends a lot on the team overall.",2024-03-18,experience microsoft work culture depends lot team overall
"As an employee, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-04-17,employee leadership encourages innovation ownership microsoft employee
"As an employee, Work life balance at Microsoft could be better overall.",2024-06-24,employee work life balance microsoft could better overall
"From what I see, Microsoft offers good work life balance and flexibility overall.",2024-06-18,see microsoft offer good work life balance flexibility overall
"In my experience, Working at Microsoft has been a great learning experience in recent months.",2024-03-03,experience working microsoft great learning experience recent month
"Currently, Work life balance at Microsoft could be better based on my experience.",2024-01-18,currently work life balance microsoft could better based experience
"Personally, Poor communication from management at Microsoft for most employees.",2024-02-25,personally poor communication management microsoft employee
"As an employee, Microsoft layoffs have affected employee morale based on my experience.",2024-06-01,employee microsoft layoff affected employee morale based experience
"Currently, Great benefits and compensation at Microsoft in recent months.",2024-01-05,currently great benefit compensation microsoft recent month
"Personally, Working at Microsoft has been a great learning experience these days.",2024-05-14,personally working microsoft great learning experience day
