company,text,createdAt,clean_text,sentiment
meta,"Personally, Great benefits and compensation at Meta for most employees.",2024-01-03,"Personally, Great benefits and compensation at Meta for most employees.",Positive
meta,"Personally, The team culture at Meta is supportive and innovative these days.",2024-01-10,"Personally, The team culture at Meta is supportive and innovative these days.",Positive
meta,"Honestly, Great benefits and compensation at Meta in recent months.",2024-04-05,"Honestly, Great benefits and compensation at Meta in recent months.",Positive
meta,"Personally, Employee experience at Meta depends on management these days.",2024-02-14,"Personally, Employee experience at Meta depends on management these days.",Neutral
meta,"Honestly, The team culture at Meta is supportive and innovative based on my experience.",2024-04-03,"Honestly, The team culture at Meta is supportive and innovative based on my experience.",Positive
meta,"Personally, Work pressure at Meta has increased recently overall.",2024-05-07,"Personally, Work pressure at Meta has increased recently overall.",Neutral
meta,"Honestly, Career growth opportunities at Meta are solid in recent months.",2024-03-08,"Honestly, Career growth opportunities at Meta are solid in recent months.",Positive
meta,"In my experience, My experience working at Meta has been average so far in recent months.",2024-01-08,"In my experience, My experience working at Meta has been average so far in recent months.",Neutral
meta,"Honestly, Work pressure at Meta has increased recently based on my experience.",2024-04-14,"Honestly, Work pressure at Meta has increased recently based on my experience.",Positive
meta,"Currently, Career growth opportunities at Meta are solid for most employees.",2024-02-13,"Currently, Career growth opportunities at Meta are solid for most employees.",Positive
meta,"As an employee, Working at Meta has been a great learning experience based on my experience.",2024-01-24,"As an employee, Working at Meta has been a great learning experience based on my experience.",Positive
meta,"In my experience, My experience working at Meta has been average so far these days.",2024-04-28,"In my experience, My experience working at Meta has been average so far these days.",Neutral
meta,"Currently, Work life balance at Meta could be better these days.",2024-02-04,"Currently, Work life balance at Meta could be better these days.",Positive
meta,"Honestly, Work life balance at Meta could be better overall.",2024-03-20,"Honestly, Work life balance at Meta could be better overall.",Positive
meta,"Personally, Overall experience at Meta is acceptable in recent months.",2024-06-17,"Personally, Overall experience at Meta is acceptable in recent months.",Positive
meta,"Honestly, Workload at Meta varies by role overall.",2024-05-02,"Honestly, Workload at Meta varies by role overall.",Positive
meta,"Currently, Employee experience at Meta depends on management based on my experience.",2024-02-02,"Currently, Employee experience at Meta depends on management based on my experience.",Neutral
meta,"Personally, The team culture at Meta is supportive and innovative based on my experience.",2024-06-17,"Personally, The team culture at Meta is supportive and innovative based on my experience.",Positive
meta,"Honestly, Meta offers good work life balance and flexibility these days.",2024-03-13,"Honestly, Meta offers good work life balance and flexibility these days.",Positive
meta,"Personally, Work pressure at Meta has increased recently based on my experience.",2024-03-05,"Personally, Work pressure at Meta has increased recently based on my experience.",Neutral
meta,"As an employee, I enjoy collaborating with talented colleagues at Meta these days.",2024-06-20,"As an employee, I enjoy collaborating with talented colleagues at Meta these days.",Positive
meta,"Currently, Workload at Meta varies by role in recent months.",2024-02-03,"Currently, Workload at Meta varies by role in recent months.",Neutral
meta,"Honestly, Meta provides strong engineering standards based on my experience.",2024-05-28,"Honestly, Meta provides strong engineering standards based on my experience.",Positive
meta,"In my experience, Work life balance at Meta could be better these days.",2024-06-10,"In my experience, Work life balance at Meta could be better these days.",Positive
meta,"Personally, Great benefits and compensation at Meta overall.",2024-02-06,"Personally, Great benefits and compensation at Meta overall.",Positive
meta,"Personally, Employee experience at Meta depends on management based on my experience.",2024-04-11,"Personally, Employee experience at Meta depends on management based on my experience.",Neutral
meta,"From what I see, Leadership encourages innovation and ownership at Meta in recent months.",2024-02-18,"From what I see, Leadership encourages innovation and ownership at Meta in recent months.",Positive
