text,createdAt,clean_text,sentiment
"Honestly, My experience working at Microsoft has been average so far in recent months.",2024-03-03,honestly experience working microsoft average far recent month,Positive
"Honestly, Microsoft offers good work life balance and flexibility for most employees.",2024-01-23,honestly microsoft offer good work life balance flexibility employee,Positive
"In my experience, My experience working at Microsoft has been average so far overall.",2024-02-25,experience experience working microsoft average far overall,Neutral
"Currently, Working at Microsoft has been a great learning experience based on my experience.",2024-06-15,currently working microsoft great learning experience based experience,Positive
"Personally, Working at Microsoft has been a great learning experience these days.",2024-03-28,personally working microsoft great learning experience day,Positive
"As an employee, Great benefits and compensation at Microsoft overall.",2024-01-24,employee great benefit compensation microsoft overall,Positive
"As an employee, Microsoft provides strong engineering standards for most employees.",2024-03-08,employee microsoft provides strong engineering standard employee,Positive
"From what I see, Job stress at Microsoft has risen after restructuring for most employees.",2024-02-01,see job stress microsoft risen restructuring employee,Negative
"In my experience, Burnout is becoming common among Microsoft employees for most employees.",2024-03-16,experience burnout becoming common among microsoft employee employee,Neutral
"As an employee, Poor communication from management at Microsoft for most employees.",2024-02-19,employee poor communication management microsoft employee,Negative
"Honestly, My experience working at Microsoft has been average so far based on my experience.",2024-03-15,honestly experience working microsoft average far based experience,Positive
"Personally, Work life balance at Microsoft could be better overall.",2024-04-07,personally work life balance microsoft could better overall,Positive
"In my experience, Employee experience at Microsoft depends on management based on my experience.",2024-01-09,experience employee experience microsoft depends management based experience,Neutral
"As an employee, Burnout is becoming common among Microsoft employees overall.",2024-02-24,employee burnout becoming common among microsoft employee overall,Neutral
"Honestly, Poor communication from management at Microsoft in recent months.",2024-02-24,honestly poor communication management microsoft recent month,Neutral
"Honestly, Great benefits and compensation at Microsoft for most employees.",2024-05-17,honestly great benefit compensation microsoft employee,Positive
"Currently, Career growth opportunities at Microsoft are solid these days.",2024-04-02,currently career growth opportunity microsoft solid day,Positive
"In my experience, Work life balance at Microsoft could be better based on my experience.",2024-06-09,experience work life balance microsoft could better based experience,Positive
"Currently, Career growth opportunities at Microsoft are solid overall.",2024-04-08,currently career growth opportunity microsoft solid overall,Positive
"As an employee, Work life balance at Microsoft could be better in recent months.",2024-01-29,employee work life balance microsoft could better recent month,Positive
"Personally, Work life balance at Microsoft could be better for most employees.",2024-01-28,personally work life balance microsoft could better employee,Positive
"Honestly, Management decisions at Microsoft are frustrating for most employees.",2024-06-04,honestly management decision microsoft frustrating employee,Neutral
"As an employee, Poor communication from management at Microsoft these days.",2024-01-05,employee poor communication management microsoft day,Negative
