company,text,createdAt,clean_text,sentiment
google,"Honestly, My experience working at Google has been average so far in recent months.",2024-03-03,"Honestly, My experience working at Google has been average so far in recent months.",Positive
google,"Honestly, Google offers good work life balance and flexibility for most employees.",2024-01-23,"Honestly, Google offers good work life balance and flexibility for most employees.",Positive
google,"In my experience, My experience working at Google has been average so far overall.",2024-02-25,"In my experience, My experience working at Google has been average so far overall.",Neutral
google,"Currently, Working at Google has been a great learning experience based on my experience.",2024-06-15,"Currently, Working at Google has been a great learning experience based on my experience.",Positive
google,"Personally, Some teams at Google are better than others these days.",2024-05-30,"Personally, Some teams at Google are better than others these days.",Positive
google,"Personally, Working at Google has been a great learning experience these days.",2024-03-28,"Personally, Working at Google has been a great learning experience these days.",Positive
google,"As an employee, Great benefits and compensation at Google overall.",2024-01-24,"As an employee, Great benefits and compensation at Google overall.",Positive
google,"As an employee, Google provides strong engineering standards for most employees.",2024-03-08,"As an employee, Google provides strong engineering standards for most employees.",Positive
google,"From what I see, Job stress at Google has risen after restructuring for most employees.",2024-02-01,"From what I see, Job stress at Google has risen after restructuring for most employees.",Negative
google,"In my experience, Burnout is becoming common among Google employees for most employees.",2024-03-16,"In my experience, Burnout is becoming common among Google employees for most employees.",Neutral
google,"As an employee, Poor communication from management at Google for most employees.",2024-02-19,"As an employee, Poor communication from management at Google for most employees.",Negative
google,"Honestly, My experience working at Google has been average so far based on my experience.",2024-03-15,"Honestly, My experience working at Google has been average so far based on my experience.",Positive
google,"Personally, Work life balance at Google could be better overall.",2024-04-07,"Personally, Work life balance at Google could be better overall.",Positive
google,"Personally, Google provides strong engineering standards in recent months.",2024-03-31,"Personally, Google provides strong engineering standards in recent months.",Positive
google,"Honestly, I enjoy collaborating with talented colleagues at Google overall.",2024-06-04,"Honestly, I enjoy collaborating with talented colleagues at Google overall.",Positive
google,"Honestly, Workload at Google varies by role based on my experience.",2024-02-11,"Honestly, Workload at Google varies by role based on my experience.",Positive
google,"Honestly, Overall experience at Google is acceptable for most employees.",2024-02-26,"Honestly, Overall experience at Google is acceptable for most employees.",Positive
google,"In my experience, Employee experience at Google depends on management based on my experience.",2024-01-09,"In my experience, Employee experience at Google depends on management based on my experience.",Neutral
google,"As an employee, Burnout is becoming common among Google employees overall.",2024-02-24,"As an employee, Burnout is becoming common among Google employees overall.",Neutral
google,"Honestly, Poor communication from management at Google in recent months.",2024-02-24,"Honestly, Poor communication from management at Google in recent months.",Neutral
google,"Honestly, Some teams at Google are better than others these days.",2024-02-06,"Honestly, Some teams at Google are better than others these days.",Positive
google,"Honestly, Great benefits and compensation at Google for most employees.",2024-05-17,"Honestly, Great benefits and compensation at Google for most employees.",Positive
google,"Currently, Career growth opportunities at Google are solid these days.",2024-04-02,"Currently, Career growth opportunities at Google are solid these days.",Positive
google,"Currently, The team culture at Google is supportive and innovative these days.",2024-01-24,"Currently, The team culture at Google is supportive and innovative these days.",Positive
google,"In my experience, Work life balance at Google could be better based on my experience.",2024-06-09,"In my experience, Work life balance at Google could be better based on my experience.",Positive
google,"Currently, Career growth opportunities at Google are solid overall.",2024-04-08,"Currently, Career growth opportunities at Google are solid overall.",Positive
google,"Currently, Leadership encourages innovation and ownership at Google in recent months.",2024-05-21,"Currently, Leadership encourages innovation and ownership at Google in recent months.",Positive
google,"Honestly, Work pressure at Google has increased recently overall.",2024-06-23,"Honestly, Work pressure at Google has increased recently overall.",Positive
google,"As an employee, Work life balance at Google could be better in recent months.",2024-01-29,"As an employee, Work life balance at Google could be better in recent months.",Positive
google,"From what I see, The team culture at Google is supportive and innovative overall.",2024-03-08,"From what I see, The team culture at Google is supportive and innovative overall.",Positive
google,"Personally, Work life balance at Google could be better for most employees.",2024-01-28,"Personally, Work life balance at Google could be better for most employees.",Positive
google,"Honestly, Management decisions at Google are frustrating for most employees.",2024-06-04,"Honestly, Management decisions at Google are frustrating for most employees.",Neutral
google,"Personally, Google provides strong engineering standards for most employees.",2024-05-15,"Personally, Google provides strong engineering standards for most employees.",Positive
google,"As an employee, Poor communication from management at Google these days.",2024-01-05,"As an employee, Poor communication from management at Google these days.",Negative
google,"As an employee, Google provides strong engineering standards based on my experience.",2024-01-15,"As an employee, Google provides strong engineering standards based on my experience.",Positive
google,"In my experience, Google offers good work life balance and flexibility these days.",2024-01-18,"In my experience, Google offers good work life balance and flexibility these days.",Positive
google,"Personally, Poor communication from management at Google based on my experience.",2024-06-17,"Personally, Poor communication from management at Google based on my experience.",Negative
google,"Personally, Workload at Google varies by role in recent months.",2024-05-15,"Personally, Workload at Google varies by role in recent months.",Neutral
google,"Personally, Burnout is becoming common among Google employees for most employees.",2024-06-25,"Personally, Burnout is becoming common among Google employees for most employees.",Neutral
google,"From what I see, I enjoy collaborating with talented colleagues at Google in recent months.",2024-04-22,"From what I see, I enjoy collaborating with talented colleagues at Google in recent months.",Positive
google,"In my experience, Burnout is becoming common among Google employees based on my experience.",2024-02-27,"In my experience, Burnout is becoming common among Google employees based on my experience.",Neutral
google,"Currently, Working at Google has been a great learning experience for most employees.",2024-02-28,"Currently, Working at Google has been a great learning experience for most employees.",Positive
google,"In my experience, My experience working at Google has been average so far overall.",2024-02-28,"In my experience, My experience working at Google has been average so far overall.",Neutral
google,"As an employee, Working at Google has been a great learning experience overall.",2024-05-11,"As an employee, Working at Google has been a great learning experience overall.",Positive
google,"Personally, Leadership encourages innovation and ownership at Google for most employees.",2024-02-03,"Personally, Leadership encourages innovation and ownership at Google for most employees.",Positive
google,"Currently, Workload at Google varies by role these days.",2024-03-03,"Currently, Workload at Google varies by role these days.",Neutral
google,"From what I see, Work life balance at Google could be better based on my experience.",2024-01-25,"From what I see, Work life balance at Google could be better based on my experience.",Positive
google,"As an employee, Career growth opportunities at Google are solid these days.",2024-04-15,"As an employee, Career growth opportunities at Google are solid these days.",Positive
google,"In my experience, Google offers stability but growth can be slow overall.",2024-01-16,"In my experience, Google offers stability but growth can be slow overall.",Positive
google,"In my experience, Google provides strong engineering standards based on my experience.",2024-02-19,"In my experience, Google provides strong engineering standards based on my experience.",Positive
google,"Personally, Leadership encourages innovation and ownership at Google these days.",2024-02-16,"Personally, Leadership encourages innovation and ownership at Google these days.",Positive
google,"In my experience, Great benefits and compensation at Google these days.",2024-05-20,"In my experience, Great benefits and compensation at Google these days.",Positive
google,"In my experience, Working at Google has been a great learning experience based on my experience.",2024-02-12,"In my experience, Working at Google has been a great learning experience based on my experience.",Positive
google,"Personally, Leadership encourages innovation and ownership at Google these days.",2024-01-16,"Personally, Leadership encourages innovation and ownership at Google these days.",Positive
google,"From what I see, Working at Google has been a great learning experience in recent months.",2024-04-26,"From what I see, Working at Google has been a great learning experience in recent months.",Positive
google,"Personally, Leadership encourages innovation and ownership at Google based on my experience.",2024-03-16,"Personally, Leadership encourages innovation and ownership at Google based on my experience.",Positive
google,"Currently, Working at Google has been a great learning experience for most employees.",2024-01-16,"Currently, Working at Google has been a great learning experience for most employees.",Positive
google,"In my experience, My experience working at Google has been average so far for most employees.",2024-05-02,"In my experience, My experience working at Google has been average so far for most employees.",Neutral
google,"Currently, Employee experience at Google depends on management based on my experience.",2024-01-15,"Currently, Employee experience at Google depends on management based on my experience.",Neutral
google,"Personally, Work pressure at Google has increased recently overall.",2024-06-01,"Personally, Work pressure at Google has increased recently overall.",Neutral
google,"From what I see, Great benefits and compensation at Google overall.",2024-05-25,"From what I see, Great benefits and compensation at Google overall.",Positive
google,"Currently, Working at Google has been a great learning experience overall.",2024-04-17,"Currently, Working at Google has been a great learning experience overall.",Positive
google,"Currently, Workload at Google varies by role in recent months.",2024-03-07,"Currently, Workload at Google varies by role in recent months.",Neutral
google,"Personally, Google provides strong engineering standards in recent months.",2024-04-11,"Personally, Google provides strong engineering standards in recent months.",Positive
google,"From what I see, I enjoy collaborating with talented colleagues at Google in recent months.",2024-01-19,"From what I see, I enjoy collaborating with talented colleagues at Google in recent months.",Positive
google,"In my experience, Google offers good work life balance and flexibility for most employees.",2024-02-24,"In my experience, Google offers good work life balance and flexibility for most employees.",Positive
google,"As an employee, Google work culture depends a lot on the team overall.",2024-03-03,"As an employee, Google work culture depends a lot on the team overall.",Neutral
google,"From what I see, The team culture at Google is supportive and innovative for most employees.",2024-06-29,"From what I see, The team culture at Google is supportive and innovative for most employees.",Positive
google,"Honestly, Working at Google has been a great learning experience for most employees.",2024-03-17,"Honestly, Working at Google has been a great learning experience for most employees.",Positive
google,"Personally, Work pressure at Google has increased recently in recent months.",2024-01-30,"Personally, Work pressure at Google has increased recently in recent months.",Neutral
google,"Currently, Job stress at Google has risen after restructuring based on my experience.",2024-03-10,"Currently, Job stress at Google has risen after restructuring based on my experience.",Negative
