company,text,createdAt,clean_text,sentiment
amazon,"In my experience, Amazon layoffs have affected employee morale based on my experience.",2024-03-07,"In my experience, Amazon layoffs have affected employee morale based on my experience.",Neutral
amazon,"From what I see, Poor communication from management at Amazon for most employees.",2024-05-24,"From what I see, Poor communication from management at Amazon for most employees.",Negative
amazon,"Honestly, Amazon offers stability but growth can be slow in recent months.",2024-01-22,"Honestly, Amazon offers stability but growth can be slow in recent months.",Positive
amazon,"From what I see, Leadership encourages innovation and ownership at Amazon based on my experience.",2024-02-26,"From what I see, Leadership encourages innovation and ownership at Amazon based on my experience.",Positive
amazon,"Personally, Poor communication from management at Amazon for most employees.",2024-02-16,"Personally, Poor communication from management at Amazon for most employees.",Negative
amazon,"As an employee, Workload at Amazon varies by role based on my experience.",2024-06-24,"As an employee, Workload at Amazon varies by role based on my experience.",Neutral
amazon,"Currently, Some teams at Amazon are better than others for most employees.",2024-01-18,"Currently, Some teams at Amazon are better than others for most employees.",Positive
amazon,"Personally, Career growth opportunities at Amazon are solid overall.",2024-01-05,"Personally, Career growth opportunities at Amazon are solid overall.",Positive
amazon,"Personally, Career growth opportunities at Amazon are solid for most employees.",2024-01-25,"Personally, Career growth opportunities at Amazon are solid for most employees.",Positive
amazon,"Currently, Working at Amazon has been a great learning experience for most employees.",2024-01-31,"Currently, Working at Amazon has been a great learning experience for most employees.",Positive
amazon,"Currently, The team culture at Amazon is supportive and innovative for most employees.",2024-01-01,"Currently, The team culture at Amazon is supportive and innovative for most employees.",Positive
amazon,"Honestly, Work life balance at Amazon could be better these days.",2024-05-13,"Honestly, Work life balance at Amazon could be better these days.",Positive
amazon,"In my experience, Employee experience at Amazon depends on management for most employees.",2024-04-19,"In my experience, Employee experience at Amazon depends on management for most employees.",Neutral
amazon,"From what I see, Leadership encourages innovation and ownership at Amazon in recent months.",2024-05-30,"From what I see, Leadership encourages innovation and ownership at Amazon in recent months.",Positive
amazon,"Honestly, Work life balance at Amazon could be better for most employees.",2024-01-26,"Honestly, Work life balance at Amazon could be better for most employees.",Positive
amazon,"From what I see, Overall experience at Amazon is acceptable based on my experience.",2024-01-22,"From what I see, Overall experience at Amazon is acceptable based on my experience.",Positive
amazon,"As an employee, Career growth opportunities at Amazon are solid based on my experience.",2024-01-02,"As an employee, Career growth opportunities at Amazon are solid based on my experience.",Positive
amazon,"In my experience, Work life balance at Amazon could be better for most employees.",2024-05-13,"In my experience, Work life balance at Amazon could be better for most employees.",Positive
amazon,"From what I see, Working at Amazon has been a great learning experience based on my experience.",2024-06-25,"From what I see, Working at Amazon has been a great learning experience based on my experience.",Positive
amazon,"As an employee, Burnout is becoming common among Amazon employees overall.",2024-02-09,"As an employee, Burnout is becoming common among Amazon employees overall.",Neutral
amazon,"As an employee, Workload at Amazon varies by role in recent months.",2024-05-17,"As an employee, Workload at Amazon varies by role in recent months.",Neutral
amazon,"Currently, Overall experience at Amazon is acceptable in recent months.",2024-06-23,"Currently, Overall experience at Amazon is acceptable in recent months.",Positive
amazon,"From what I see, Amazon work culture depends a lot on the team for most employees.",2024-05-22,"From what I see, Amazon work culture depends a lot on the team for most employees.",Neutral
amazon,"Currently, Overall experience at Amazon is acceptable for most employees.",2024-05-03,"Currently, Overall experience at Amazon is acceptable for most employees.",Positive
amazon,"Currently, I enjoy collaborating with talented colleagues at Amazon in recent months.",2024-06-29,"Currently, I enjoy collaborating with talented colleagues at Amazon in recent months.",Positive
amazon,"Honestly, Amazon work culture depends a lot on the team overall.",2024-02-28,"Honestly, Amazon work culture depends a lot on the team overall.",Positive
