text,createdAt
"Love working at Microsoft, the team culture is supportive and inclusive","2024-01-05"
"Working at Microsoft has been a great learning experience so far","2024-01-07"
"Microsoft offers good work life balance compared to other tech companies","2024-01-10"
"Been working at Microsoft for four years now, overall a positive journey","2024-01-12"
"Great benefits and compensation while working at Microsoft","2024-01-15"
"Microsoft provides strong career growth opportunities","2024-01-18"
"Enjoy the flexibility and remote work culture at Microsoft","2024-01-20"
"Microsoft has a healthy engineering culture","2024-01-22"
"Proud to be working at Microsoft with such talented colleagues","2024-01-25"
"Positive experience working at Microsoft despite market challenges","2024-01-28"

"Working at Microsoft for two years, experience has been okay so far","2024-02-02"
"Microsoft work culture is decent but depends on the team","2024-02-05"
"Neutral experience working at Microsoft, not great not terrible","2024-02-08"
"Microsoft management varies a lot across teams","2024-02-11"
"Job security at Microsoft feels average these days","2024-02-14"
"Microsoft workplace policies are fair overall","2024-02-17"
"Mixed feelings about working at Microsoft","2024-02-20"
"Workload at Microsoft can be manageable or stressful depending on role","2024-02-23"
"Microsoft offers stability but growth can be slow","2024-02-26"
"Employee experience at Microsoft depends heavily on leadership","2024-02-28"

"Microsoft layoffs have negatively impacted employee morale","2024-03-03"
"Stress levels increased after recent Microsoft layoffs","2024-03-06"
"Burnout is becoming common among Microsoft employees","2024-03-09"
"Management decisions at Microsoft are frustrating lately","2024-03-12"
"Working at Microsoft has become more stressful in recent months","2024-03-15"
"Employee satisfaction at Microsoft is declining due to workload","2024-03-18"
"Poor communication from management at Microsoft","2024-03-21"
"Microsoft work pressure has increased significantly","2024-03-24"
"Negative experience after restructuring at Microsoft","2024-03-27"
"Microsoft employees are feeling uncertain about the future","2024-03-30"

"Microsoft offers good learning but work pressure is high","2024-04-03"
"Balanced experience working at Microsoft so far","2024-04-06"
"Some teams at Microsoft are great, others not so much","2024-04-09"
"Microsoft culture feels different across departments","2024-04-12"
"Employee morale at Microsoft seems mixed recently","2024-04-15"

"Still enjoy working at Microsoft despite challenges","2024-04-18"
"Microsoft provides solid engineering standards","2024-04-21"
"Good colleagues make working at Microsoft worthwhile","2024-04-24"
"Microsoft has both pros and cons for employees","2024-04-27"
"Overall experience at Microsoft is acceptable","2024-04-30"

"Microsoft encourages innovation and ownership","2024-05-03"
"Learning opportunities at Microsoft are strong","2024-05-06"
"Career growth at Microsoft depends on manager support","2024-05-09"
"Microsoft team collaboration is generally good","2024-05-12"
"Work life balance at Microsoft could be better","2024-05-15"

"Recent changes at Microsoft have increased workload","2024-05-18"
"Employee stress has risen after internal reorganization","2024-05-21"
"Leadership communication at Microsoft needs improvement","2024-05-24"
"Morale dropped after project reshuffling at Microsoft","2024-05-27"
"Uncertainty among Microsoft employees is noticeable","2024-05-30"
